"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"643","2020-01-22","2020-01-22","Central","BURGLARY","30","F","O","1993"
"644","2020-01-22","2020-01-22","Central","BATTERY - SIMPLE ASSAULT","65","F","B","1958"
"645","2020-04-18","2020-04-18","West Valley","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","38","M","O","1985"
"646","2020-09-24","2020-09-24","Central","THEFT PLAIN - PETTY ($950 & UNDER)","29","M","H","1994"
"647","2020-02-24","2020-02-24","Central","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","26","M","H","1997"
"648","2021-12-19","2021-12-19","Central","SEXUAL PENETRATION W/FOREIGN OBJECT","55","F","H","1968"
"649","2020-01-22","2020-01-22","Central","BATTERY - SIMPLE ASSAULT","52","F","W","1971"
"650","2020-01-22","2020-01-22","Central","BURGLARY","60","M","A","1963"
"651","2020-01-22","2020-01-22","Central","ROBBERY","33","M","H","1990"
"652","2020-01-22","2020-01-22","Central","THEFT, PERSON","38","F","W","1985"
"653","2020-01-22","2020-01-22","West Valley","SEX OFFENDER REGISTRANT OUT OF COMPLIANCE","46","M","H","1977"
"654","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","63","F","W","1960"
"655","2020-01-22","2020-01-22","Central","BATTERY - SIMPLE ASSAULT","34","M","H","1989"
"656","2020-01-21","2020-01-21","Hollywood","THEFT OF IDENTITY","28","M","H","1995"
"657","2020-01-22","2020-01-22","Northeast","UNAUTHORIZED COMPUTER ACCESS","40","F","H","1983"
"658","2020-01-22","2020-01-22","Central","INTIMATE PARTNER - SIMPLE ASSAULT","29","M","B","1994"
"659","2020-01-23","2020-01-23","Central","BURGLARY FROM VEHICLE","36","M","W","1987"
"660","2020-01-22","2020-01-22","West LA","BIKE - STOLEN","35","M","W","1988"
"661","2020-01-09","2020-01-09","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","52","F","H","1971"
"662","2020-02-02","2020-02-02","Central","INTIMATE PARTNER - SIMPLE ASSAULT","48","M","H","1975"
"663","2020-01-23","2020-01-23","Central","OTHER ASSAULT","35","M","H","1988"
"664","2020-01-22","2020-01-22","Central","INTIMATE PARTNER - SIMPLE ASSAULT","53","F","B","1970"
"665","2020-10-14","2020-10-14","Central","THEFT PLAIN - PETTY ($950 & UNDER)","32","M","B","1991"
"666","2020-01-22","2020-01-22","Hollywood","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","26","F","O","1997"
